,title,category,intro,url
113,[용기내 챌린지]귀여운 수달캐릭터를 담은 빵순이 식빵용기 ,홈 · 리빙,"비건베이커리 사장님이 만든 굿즈 #수달식빵용기 #용기내챌린지
식빵을 소분하여 냉동하세요 ",https://tumblbug.com/zerotable
114,고~백 쿠키! 고백해!,푸드,"쫀득한 아메리칸 쿠키가 다시 돌아왔어요!
쫀득한 쿠키로 발렌 타인 데이에 고백해요!!",https://tumblbug.com/plaisir_cakemira_12
115,나랑 손씻으러 가지 않을래? 너를 위해 준비했어 '캡슐솝',향수 · 뷰티,언제 어디서나 한 개씩 꺼내어 간편한 손씻기 가능한 캡슐솝,https://tumblbug.com/suusu
116,미얀마 민주화 투쟁 연대시 번역본 (미얀마어 영어) 발간,출판, 한국 대표 시인들의 미얀마 민주화 연대시를 미얀마어 영어로 번역 시집으로 발간합니다.,https://tumblbug.com/korean-writer
117,믿고쓰는 샴푸바! 환경과 두피를 생각하는 비건 고체 샴푸,향수 · 뷰티,소중한 당신의 두피와 하나뿐인 우리 지구를 위해 비건 샴푸바로 바꿔보세요!,https://tumblbug.com/theveganglow21
118,아르누보 시그림책<멀고도 가까운 노래들>1900년초판 복간,출판,아르누보 시그림책 <Songs of Near and Far Away> 1900년 초판 복간,https://tumblbug.com/songs_of_near_and_far_away
119,네이버웹툰 < 아홉수 우리들> 문구 세트,웹툰 · 만화,"굿즈는 날 배신하지 않지! <아홉수 우리들> 노트, 스티커, 메모지, 폰스트랩!",https://tumblbug.com/29yearsold
120,호기와 려니의 주황빛 청주여행 <청주화투>,보드게임 · TRPG,호미골에 사는 흑호랑이 호기와 금거리 토끼골에 사는 려니의 주황빛 청주여행 <청주화투>,https://tumblbug.com/cheongjuhwatu
121,발달장애인과 함께 더불어 꿈꾸는~ 향기 담은 보습 비누!!,향수 · 뷰티,'발달장애인과 함께 더불어 살아가는 세상'을 만들기 위한 착한 가치를 담은 향기 수제비누!,https://tumblbug.com/thesoop
122,뉴에이지 아티스트 웨일의 첫 번째 정규앨범,음악,뉴에이지 피아노 아티스트 웨일의 첫 번째 정규 앨범 발매를 위한 펀딩입니다!,https://tumblbug.com/inwhale
123,SF영화 속 괴물들의 해부도해 <SF 괴수괴인 도해백과>,출판,"고전 SF 영화 속 괴수, 괴인들의 해부도와 상세설명이 수록된 서적.",https://tumblbug.com/txt001
124,세련된 편집 디자인을 돕는 레이아웃 디자인 키트,디자인,그리드 시스템이 적용된 100종의 유용하고 멋진 편집 레이아웃 디자인을 만나 보세요.,https://tumblbug.com/layoutdesignkit
125,여성이라는 소수자 속 또 다른 소수자 <귀여운 할머니>,영화 · 비디오,여성이라는 소수자 속 또 다른 소수자 이야기 <귀여운 할머니>,https://tumblbug.com/cutegrandmother
126,당신 뇌를 200%가동할 신약?[좀비런:Limitless],보드게임 · TRPG,"좀비런 키트는 실감나는 증거품, 모바일, SNS로 즐기는 좀비스릴러 추리게임 키트입니다.",https://tumblbug.com/zrno3
127,밀레니얼 도시 경관 매거진 특별호 [ULC B호],출판,"조경과 예술의 접점을 다섯가지 키워드(문학, 조각, 메모리얼, 전시, 워크숍)로 관찰합니다",https://tumblbug.com/220101
128,바닐라 향에 진심인 조향사가 선보이는 따스한 바닐라 향수,향수 · 뷰티,바닐라 향을 사랑한 조향사가 직접 만든 누구나 사랑할 수 밖에 없는 매력적인 바닐라 향수,https://tumblbug.com/lavariete-6
129,커피 사용설명서? 커피 운영 A부터 Z까지,출판,"커피도 설명서가 필요? 커피 이론부터 실무까지, 커피 운영도 한 눈에 보는 프로젝트",https://tumblbug.com/kumjac003
130,언제 어디서든 간편하게 즐기는 커피티백 (feat. 선일),푸드,어디서나 간편하게 즐길 수 있는 '커피티백' 제품입니다 + 선일이비즈니스고등학교 학생 개발,https://tumblbug.com/coffeeteabag
131,쉴때도 불안한 당신을 위하여 <Vinyl : 비효율모음집>,출판,이 책을 다 읽으면 더 이상 불안하지 않을거예요. 비효율적이지만 행복한 순간을 모았습니다.,https://tumblbug.com/lifeisgood
132,"메모 더 월, 중요한 걸 잊지 않기 위해",홈 · 리빙,다양한 종류의 메모가 가능한 벽결이 겸용 데스크오거나이저입니다.,https://tumblbug.com/anthewood_memothewall
133,떡볶이의 시작과 끝 파도즉석떡볶이,푸드,즉떡 맛집이 여기있네? 떡으로 시작해 밥으로 마무리,https://tumblbug.com/pado_camping
134,진짜 속마음이 궁금해? 투표게임 쓰리포!,보드게임 · TRPG,나를 알 수 있는 또다른 방법! 친구들과 게임을 통해 나를 발견해보세요!,https://tumblbug.com/34game
135,"한반도의 푸르른 바다를 내 방에, < 방구석 바다여행 >",예술,"답답한 일상에 지친 당신을 위한 방구석에서 떠나는 국내 바다여행, 출발 합니다~!",https://tumblbug.com/hanbandoseatrip
