,상품명,현재 펀딩 금액,펀딩 퍼센트,목표금액,후원자 수
3614,코까지 따뜻하게 감싸주는 29cm 리버시블 넥워머,"1,767,400",589,배송 완료,38명
3615,4.3은 여자의 얼굴을 하지 않았다 <동백꽃 콜렉션>,"25,330,200",589,"4,300,000","1,677명"
3616,[앵콜] 신티크용 키보드 거치대 STICKEY,"5,890,000",589,배송 완료,201명
3617,"스케치업 웹툰 배경 ""치킨호프""","1,767,000",589,배송 완료,93명
3618,에이-팬 지향을 위한 프라이드 케이크 뱃지,"2,355,000",588,배송 완료,156명
3619,아이들의 달빛이 되어 주세요. [성폭행 피해 아동 지원],"4,709,700",588,"800,000",362명
3620,한눈에 보이는 CMYK 컬러인쇄 가이드 (비도공지 판),"23,535,000",588,"4,000,000",616명
3621,"[frilca] 과하지 않은 독특함, 프릴카백","8,822,500",588,"1,500,000",352명
3622,"개발자 삶에 활력을, ""Hack Your Life""","5,880,000",588,배송 완료,179명
3623,"예술과 광기 사이, 별이 빛나는 밤 사이프러스의 향기","5,879,990",587,배송 완료,113명
3624,대기업 때려치우고 동네 북카페 차렸습니다,"5,878,750",587,배송 완료,174명
3625,크림히어로즈 골드 머그컵,"58,785,000",587,배송 완료,"2,673명"
3626,<Me in 2022> 매주 완성되는 나만의 책,"5,876,000",587,"1,000,000",139명
3627,"오늘 하루, 한 권의 책 만들기: 북바인딩kit","8,813,000",587,"1,500,000",145명
3628,"지하철 ①,②,③호선, '역'에 담긴 우리 이야기","5,874,500",587,배송 완료,117명
3629,"매일 바다 보러가는 달력, 2021 [bada]","3,230,000",587,"550,000",184명
3630,퀴퍼를 더 즐겁게! 레인보우 플래그와 퀴어 프라이드 이어링,"1,761,000",587,"300,000",108명
