,title,category,description,current_funding_amount,percentage,target_funding_amount,supporter
3396,"""대한독립만세, 여성해방만세"" 차미리사 북백, 북파우치",잡화,"2019년의 여성을 있게 한 여성독립운동가, 차미리사 선생님을 기리는 프로젝트",3095000,619,5000,125
3397,"커피를 즐기는 애호가들을 위한 안내서, 커피 가이드",출판,한 잔의 취미생활! 커피 한 잔과 함께 누구에게도 방해받지 않는 시간을 가져보세요.,7427000,618,12017,319
3398,더많은 여성에게 더많은 속옷 선택권을! 미드에어X66100,의류,미드에어X66100 골지 브라렛,30927900,618,5000000,527
3399,네이버웹툰 <호러와 로맨스> 1~5권(완) 단행본 제작,웹툰 · 만화,"<호러와 로맨스> 웹툰 단행본과 스티커, 키링, 북파우치 등 여러가지 선물을 기획했습니다.",30927000,618,50043,355
3400,온라인에서 활용 가능한 'UX/UI 그래픽 가이드',디자인,디자이너들이 협업시 맞춰서 진행해야 하는 시각적인 부분을 가이드에 담았습니다.,3092000,618,500000,200
3401,고양이모래 유목민들 이리오세요! <크집사의 레시피>,잡화,프리미엄 벤토나이트 모래에 크집사만의 특별한 레시피를 더해 응고력과 탈취력을 더했어요!,61823100,618,100037,1137
3402,Testimony winter wonderland,음악,Testimony의 두번째 단독콘서트와 함께해 주세요! 맛있는 디너파티와 신나는 블랙가스펠이 함께합니다❤,1360000,618,220000,45
3403,관계의 깊이를 더해주는 인간관계 솔루션 <인생대화 카드>,보드게임 · TRPG,"<인생대화 카드>가 전하는 대화의 힘, 여러분의 일상에 작지만 큰 특별함을 더합니다.",4326000,618,7000,278
3404,be-lit-review : 비릿이 본 독립문화컨텐츠,출판,독립문학잡지 <비릿 be:lit>의 에디터들이 주1회 독립문화 컨텐츠 리뷰를 연재합니다.,618000,618,1000,32
3405,［스케치업 웹툰배경］-어린이집&놀이터,웹툰 리소스,웹툰 속 어린 연령대 캐릭터들의 상황연출을 위한 공간을 제작하였습니다.,3090000,618,5000,103
3406,"새해, 기분 좋은 시작을 함께할 헤링본 자켓",의류,간절기부터 봄까지 입을수 있는 울 70%의 헤링본 더블 브레스티드 자켓,12343500,617,20005,188
3407,조선의 두루마기 KOREA의 파티룩이 되다. [두티룩],의류,조선의 뱃사공이 입던 두루마기의 장점을 살려 현시대에 필요한 아이템으로 만들었습니다.,3794000,617,614810,48
3408,"[DIY]100방울의 마법, 나만의 향기를 부르는 주문",향수 · 뷰티,"총 100방울의 향료를 선택하세요, 세상에 단 하나뿐인 나만의 향기를 만들어드립니다.",1851000,617,3000,62
3409,"10년의 심리상담 사례집<벼랑 끝, 상담>",출판,"치열했던 10년간의 상담. 각종 심리증상에 관한 원인과 이론, 치료법을 소개한다.",24677500,616,40060,830
3410,빼르의 맛있는 20가지 다이어트 레시피,푸드,맛없는 식단은 그만! 빼르의 한 손에 들어오는 맛있는 다이어트레시피북,2467000,616,4004,280
3411,"심각했던 피부고민의 해답, 식품등급의 천연원료 화장품!",향수 · 뷰티,순한 천연 자연성분으로 최상의 과학적 효과,3083500,616,5005,103
3412,"선조들의 붓으로 그린 매난국죽, 사군자 케이스",잡화,선조들의 붓으로 그린 사군자 프린트를 입힌 핸드폰 케이스와 무선이어폰 케이스를 소개합니다!,3082500,616,5004,115
