,title,category,intro,url
114,커스텀 가능한 2.5D 액션 이펙트 & 일상 파티클,웹툰 리소스,클립 스튜디오용 웹툰 소스 모음. 작풍에 맞는 자작 텍스쳐로 교체해 활용도 가능합니다.,https://tumblbug.com/2_5d_set
115,"<마담 보바리>, 이브 생로랑의 옷을 입다.",출판,"작가탄생200주년, 이브생로랑 삽화와 필사본 수록된 <마담 보바리>특별판 국내 첫 제작! ",https://tumblbug.com/httpsurlkrph95ky
116,"상실에 관한 환상SF 단편집 <여섯 번째, 꿈의 감각>",출판,"우주를 관장하는 절대신부터 작디작은 우주먼지까지, 누구도 피해갈 수 없는 상실에 대하여.",https://tumblbug.com/studiofallingstar
117,"내 방 안의 희귀식물 포스터, 엽서북, 키링 <그리너리룸>",디자인,"희귀 관엽 식물인 안스리움을 주제로 디자인한 포스터, 엽서북, 키링입니다.",https://tumblbug.com/greeneryroom
118,12팀의 크리에이터와 함께한 2022 릴레이 달력 챌린지,디자인 문구,즐거움을 전하는 크리에이터 12팀의 화보가 담긴 포토캘린더,https://tumblbug.com/idiol_2022
119,[Tlab] 컨템포러리 타입페이스 한글 Inline,디자인,각자의 개성이 담긴 인라인 스타일 서체를 제작한 세 디자이너의 프로젝트. ,https://tumblbug.com/tlab
120,보석의 공간을 디자인 하다 [쇼룸 펜던트],주얼리,"열고 닫으며 커스텀이 가능한, 유리에 달라붙는 점착식 보석 로켓 목걸이",https://tumblbug.com/moecho02
121,"비전공자도 엑셀+도서로 쉽게, 데이터 분석 실전 마스터",출판,비전공자도 엑셀로 쉽게!도서와 현실 기반 데이터로 당신은 이미 마소 전자 경영기획 본부장!,https://tumblbug.com/httpswwwmasocampuscom
122,노브라로 나가도 모를걸! <해방잠옷> ,의류,노브라로 누리는 온전한 자유. 노브라 <해방잠옷>으로 편안히-,https://tumblbug.com/sosojam
123,하찮은 찹쌀 도-나쓰 도우도우 노트북 파우치,캐릭터 · 굿즈,여러분들의 소중한 노트북과 아이패드를 안전하게 지켜줄 도우도우 노트북 파우치입니다.,https://tumblbug.com/manyalittle_dowdow
124,"한지로 만든, 친환경 소재 하운지 가죽을 가방에 담다",잡화,하운지 가죽으로 만든 가방,https://tumblbug.com/abellverabag
125,"[디지털 다이어리] 즐거운 기록 놀이, 꼴라주 2021",디자인 문구,2021년에는 기록하는 재미에 푹 빠져 보세요. 당신의 한 해가 더욱 다채로워질 거예요!,https://tumblbug.com/collage2021
126,홍익대학교 산업디자인 졸업전시<design without>,예술,홍익대학교 산업디자인학과 2020 졸업전시<design without>의 MD를 소개합니다,https://tumblbug.com/hongik_id_degreeshow
127,"""어서오세요, 문브릿지 꿈상점입니다."" <드림캐쳐>",출판,꿈의 세계 솜니아에 입성한 루시와 꿈의 신 모피어스가 펼치는 아동청소년용 판타지 소설,https://tumblbug.com/dreamcatchers
128,"""지금,도쿄"" : 일본감성 꾹꾹담은 엽서키트",디자인 문구,도쿄 유학생활 시절의 사진들로 만든 엽서키트. ,https://tumblbug.com/tokyonow
129,두려운 영혼을 위한 그림책 <세상에서 가장 안전한 집>,출판,막연한 두려움에서 벗어나는 한 소녀의 여행기,https://tumblbug.com/tkkim03
130,동물들의 열두달을 담은 [2022 A.T.M 캘린더],디자인 문구,"열두달을 지나는 동물들, 그들의 어떤 순간을 담은 '2022 A.T.M 캘린더'입니다.",https://tumblbug.com/2022_atm_calendar
131,"책봄의 환경,동물,사람 - 도서 구독서비스 <문 앞의 봄>",예술,"매달 환경, 동물, 사람에 관한 도서 중 1권을 엄선하여 문 앞으로 배송해 드립니다.",https://tumblbug.com/bookspring1
132,미래세대에게 대한민국 축구의 가치를 전달해요!,예술,"[전시,교육,체험] 아티스트, 수집가들과 함께 미래세대에게 대한민국 축구의 가치를 전해요!",https://tumblbug.com/faentasium
133,향과 마음치유의 조화 : 감정조절이 어려운 당신에게,홈 · 리빙,'아로마 테라피'와 '심리치유 기법'을 통한 현대인들의 '마음치유 도구',https://tumblbug.com/healing_stick
134,"언택트 시대, 멀어진 사이 건네보는 <사이다>",웹툰 · 만화,포스트코로나 사회를 살아가며 각자의 시선으로 만화를 그리는 독립출판 프로젝트,https://tumblbug.com/saida
135,"산타를 기다리는 어른들의 설렘, 크리스마스 테라리움 키트",홈 · 리빙,"나만의 반려식물을 위해 직접 만드는 테라리움, 녹색식물의 생명력으로 맞이하는 작은 행복",https://tumblbug.com/hwayou_xmas
136,"보이스 아이돌 프로젝트 : 아이-유니버스 ""에버샤인""",음악,"보이스 아이돌 프로젝트 : 아이-유니버스 ""에버샤인""의 굿즈, 앨범패키지 제작을 위한 펀딩",https://tumblbug.com/evershine
137,산책을 씨앗처럼 심고 가꾸는 그림에세이 <함께 쓰는 산책>,출판,"저마다의 속도로 걷고 기록하며, 건강히 자라나는 마음들을 책과 함께 간직해보세요.",https://tumblbug.com/sompress03
138,더 깊은 사랑 [The love rose Ring] ,주얼리,여러분의 사랑의 색을 단언하진 못하지만 분명 다채로울 것입니다. ,https://tumblbug.com/karak
