,title,current_funding_amount,percentage,target_funding_amount,supporter
233,응급의학과 의사들이 직접 만든 우리집 미니 응급실,79772900,15954,500000,"1,043명"
234,[공식] 핑크빈이 커져서 나타났다! 핑크빈 빈백,25332000,14901,500000,151명
235,이동균 명인의 60년 전통 빗자루공예,7336500,14672,500000,292명
236,from death,731000,14619,500000,14명
237,여성독립운동가 알리기 : Brochure 프로젝트 1,42167999,14055,500000,"2,442명"
238,깊고 달콤한 꿀잠을 책임질게요.휘겔리다올리 딥-슬립 테라피,41020950,13673,500000,911명
239,움직이는 데포르메 3d 손 모델링,135988000,13598,500000,"3,450명"
240,손쉬운 웹툰 제작을 위한 슈퍼모델비율의 3D 바디와 세트,131431000,13143,500000,670명
241,[스케치업 공작실_4] 다양한 구성의 로판 대저택 패키지,128550000,12855,500000,"1,309명"
242,드루이드가 되고 싶은 당신을 위한 안내서,123709444,12370,500000,"5,028명"
243,덕기네 웹툰배경-웹툰 배경 9종세트,116450000,11645,500000,942명
244,"책방무사의 노랑색 노력을 소개합니다. <오늘도, 무사>",4494500,11236,500000,121명
245,'데미안'에게는 늘 향긋한 비누향이 났다. 데미안의 향기,55960000,11192,500000,"1,143명"
246,웹툰배경 올인원 풀세트 10종 [주경/일몰/야경],109878400,10987,500000,910명
247,럼에 졸인 자두와 꿀에 젖은 장미의 향<RumPlum>,54665000,10933,500000,"1,652명"
248,직접 자유롭게 움직이는 데포르메 3D 손 + 팔 + 상반신,103898000,10389,500000,900명
249,영원히 기억할게 나의 털복숭이! '반려동물 털 목걸이',30981000,10327,500000,957명
250,"한 잔의 여유에서 피어오르다, '꽃과자기 시온유리잔'",101462000,10146,500000,"1,798명"
251,[달빛천사]이터널스노우 오르골보석함+실버 풀문 목걸이 세트,187778104,9388,500000,"1,892명"
252,조선 <대갓집과 방 10종> 스케치업 배경,46798000,9359,500000,372명
253,"마법같은 이펙트의 매력, 'FX 드로잉 가이드북2'",45362500,9072,500000,"1,382명"
254,한복 자료집 <흑요석이 그리는 한복 이야기>,180592500,9029,500000,"7,742명"
255,양면으로 입는 우리옷 털배자<누비와 뽀글이의 콜라보레이션>,44834000,8966,500000,427명
256,[앵콜] 소매치기가 싫어하는 미토도 도난방지 방검가방,87426101,8742,500000,"1,053명"
257,디지털 성범죄 피해자들의 마음을 어루만지다,26099046,8699,500000,"1,819명"
258,분리해서 내부 세척이 가능한 'two tone 빨대',42832956,8566,500000,"1,421명"
259,진짜 하루만에 끝내는 포토샵,85122000,8512,500000,"4,794명"
260,보스 장신구 : Maple spoon,8444000,8444,500000,238명
261,출구없는 매력부자! 잔망루피 첫 공식 굿즈!,168210601,8410,500000,"4,092명"
262,아무도 몰랐던 조선 황실의 패턴을 허리치마로. 궁보치마,41482000,8296,500000,253명
263,"<실험번호 : 자유> , 실험견 비글의 인식개선과 입양지원",24797247,8265,500000,"1,541명"
264,호랑아 내가 만들어줄게! [ 조그만한 호랑이 초보뜨개키트],41118000,8223,500000,"1,244명"
265,"보물을 담은 겨울 향수, ""몰약"" 과 ""백향목""",82157000,8215,500000,"1,371명"
266,리유저블 실리콘 투약병,81112800,8111,500000,"4,167명"
267,[웹툰배경:스케치업] 눈 내리는 북부대공의 성!,80299700,8029,500000,705명
268,달빛천사15주년기념 국내정식OST발매,2636684000,7989,500000,"72,513명"
269,프랑스 왕실의 향기 <마리 앙투아네트가 사랑했던 향수>,39756006,7951,500000,765명
270,"LOOK AT LAMP, 룩앳램프",63485000,7935,500000,"1,232명"
271,박제가 되어버린 천재를 아시오? 이상 시인 잉크,39432100,7886,500000,800명
272,만능조합 풀잎브러쉬,77352000,7735,500000,"2,529명"
273,[스케치업 웹툰배경] 고대그리스풍 판타지 신전 외관,7670000,7670,500000,130명
274,슬기로운 원고생활 <동양 무늬 브러쉬>,75439500,7543,500000,"2,699명"
275,"스케치업, 광역 전망의 마을과 업그레이드 소품, 자연물",75340000,7534,500000,623명
276,지속성을 고민한 전통공예. 천연 자개 악세서리 '독화',36971050,7394,500000,466명
277,[앵콜]깊고 달콤한 꿀잠을 책임질게요. 딥-슬립 테라피,36860700,7372,500000,824명
278,방검가방 여행을 지켜줘! 소매치기가 싫어하는 여행용 가방,73097700,7309,500000,740명
279,우리가 몰랐던 한국의 환타지 '동이귀괴물집',145376000,7268,500000,"8,881명"
280,웹툰용 포즈 프로그램(Enable Toon),72650000,7265,500000,657명
281,"보라빛 향수로 재탄생한 클레오파트라, ""테아 네오테라""",35806000,7161,500000,717명
282,[퍼퓸드싸우나] 추억의 '목욕탕' 향기를 기억하시나요?,35712800,7142,500000,990명
283,"전세계 악마들 총집합, 마물들을 모아놓은 ‘검은사전’",139121000,6956,500000,"8,591명"
284,"당신의 하루를 반짝이게 만들어줄, 우주를 담은 ‘썬캐쳐’",6910000,6909,500000,295명
285,"내가 아는 그 신에게서 향이 났다면? 신들의 향수, 르파써",68794800,6879,500000,936명
286,고통받는 개들에게 자유를! 프리독 팔찌,68332600,6833,500000,"2,516명"
287,"로판 속 왕실 부티크, 제복과 드레스 장식 소재&브러쉬",33995000,6798,500000,978명
288,"2년간의 취준, 그 모든 노하우가 담긴 단 하나의 취뽀사전",20393400,6797,500000,"1,571명"
289,던전즈 & 드래곤즈 한국어판 발매,441686742,6795,500000,"1,840명"
290,(투닥토닥 판타지) 스케치업 프로젝트 No.6_ 판타지마을,67856000,6785,500000,548명
291,"2021년을 기록하는 100가지 질문, <연말정산> 7주년",33830500,6766,500000,"1,500명"
292,웹툰과 일러스트를 위한 컬러 꽃브러쉬,66610100,6661,500000,"2,221명"
293,[웹툰스케치업] 대공님의 성과 수도원,66267500,6626,500000,666명
294,"선비의 붓, 프랑스를 담다",9893000,6595,500000,213명
295,"오늘, 헤어나올 수 없는 향기의 유혹이 당신을 찾아갑니다.",32761600,6552,500000,422명
296,"5만원대로 만나는 영원함, 나의 첫 다이아몬드 반지",32643000,6528,500000,389명
297,지금 바로 써먹는 엑셀꿀팁 30가지,21399054,6484,500000,"2,179명"
298,[스냅툰+베를린잡화점] 로코코 풍 봄의 왕국 웹툰배경,64814000,6481,500000,504명
299,스케치업 웹툰 배경 - 조선시대 마을 배경,19388000,6462,500000,336명
300,더이상 혼자 밥먹는 걸 창피해하지 마세요 혼밥만화 티셔츠,25659079,6414,500000,954명
301,킨토토 마이스터빌리지 '명장'의 메이플악세사리(네코장),6397000,6397,500000,297명
302,오베론의 숲에서 찾은 '사랑의 묘약' <엘릭서 오브 러브>,31536700,6307,500000,673명
303,이것저것 스케치업 플러그인 모음Zip,31445000,6289,500000,786명
304,웹툰 일러스트에 최적화된 전신 데포르메,62674000,6267,500000,465명
305,2019년을 정리하는 100가지 질문 <연말정산> 5주년,31279000,6255,500000,"1,235명"
306,반영구적으로 사용 가능한 실리콘 스트로우,31261800,6252,500000,"3,650명"
307,무하풍 꽃장식 웹툰/일러스트용 브러쉬 세트,62113000,6211,500000,"1,885명"
308,오버핏 후드티&폰케이스:반려견 헌혈 캠페인,30560690,6112,500000,767명
309,본격 여행 파티 게임 [방방곡곡: 세계 유랑 한국어판],18218000,6072,500000,982명
310,트위치TV 스트리머 <김도>의 탈모냥이 후드/맨투맨,60641974,6064,500000,"1,169명"
311,"지옥에서 돌아온 저세상 영화 리뷰 웹툰, ""부기영화""",237742379,5943,500000,"7,431명"
312,"환디 스케치업/탈것세트(2,4륜/포크레인,헬기,배 등)",59200000,5920,500000,389명
313,"고흐의 압생트, 향수로 탄생하다 “압생트”향수",59057000,5905,500000,"1,331명"
314,한 해를 마무리하는 100가지 질문 <연말정산>,14737700,5895,500000,947명
315,반영구적으로 사용 가능한 실리콘 스트로우 Ver.2,29428350,5885,500000,"2,361명"
316,하루만 네가 되고 싶어,117459200,5872,500000,"3,141명"
317,"엄마와의 기억을 연장하는 최고의 방법, 엄마일기",5833000,5833,500000,493명
318,다양한 구도를 쉽고 정확하게 LD/SD 데포르메 3D 헤드,87320000,5821,500000,572명
319,"소비자와 공장을 잇다: 세탁부터 수납까지, 가뿐한 온수매트",58107000,5810,500000,417명
320,"""디자이너들은 왜 다 안된다고 해?"" 디자인 외주 안내서",4061173,5801,500000,"3,698명"
321,일회용 패드 없이 편안하게! 쓰라림과 짓물림 없는 슈어팬티,28960250,5792,500000,281명
322,비가 오는 날이 즐거워져요. 더욱 완벽해진 감성 양우산,28547500,5709,500000,745명
