,상품명,현재 펀딩 금액,펀딩 퍼센트,목표금액,후원자 수
205,웹툰의 모든 대사를 로맨틱하게! * 식자 편집 소재 모음,"16,055,000",1605,배송 완료,524명
206,나와 우리 가족의 생명을 지켜주는 「오뚝이 안전카매트」,"16,048,000",1604,"1,000,000",127명
207,"청포도? 싱그러운 연두빛 향기, 샤인머스캣 향수와 겨울을!","8,031,500",1606,배송 완료,257명
208,"당신의 소망에 마법을 걸어줄, 동화같은 '키링'","1,600,000",1600,배송 완료,49명
209,스케치업 웹툰배경-중세 왕궁알현실/주점/극장,"15,961,000",1596,배송 완료,197명
210,"[디즈니 정품]앨리스 가방, 뱃지 시리즈로 재미를 행복을!","7,972,000",1594,배송 완료,150명
211,"여행을 담은 수채화 컬러링키트, 소울팔레트","15,943,000",1594,"1,000,000",445명
212,물개가 아니에요! < 물고양이 인형 & USB >,"7,953,000",1590,배송 완료,220명
213,"[주머니 쏙!] 드디어 찾았다 인생향기, 설렘주의 제주향기","7,950,600",1590,"500,000",418명
214,[돌아온]하루10분! 왕초보도 마스터하는 실전 일러스트!,"7,945,900",1589,배송 완료,243명
215,"더 알차고, 실속있게 달라진 양갱선물세트","15,890,000",1589,"1,000,000",341명
216,"2019년 소금집 텀블벅, 초겨울의 포근한 식탁을 위해","31,749,000",1587,배송 완료,497명
217,"겨울, 손끝이 차가울때 '캐시미어 울 글로브'","11,096,500",1585,배송 완료,418명
218,직관적으로 펼쳐보는 '컬러 인쇄 가이드',"95,040,777",1584,"6,000,000","3,419명"
219,웹툰상생프로젝트#9 말馬 3종,"15,840,000",1584,배송 완료,396명
220,한 장으로 맛있게 즐기는 식이조절 식단,"47,501,500",1583,배송 완료,781명
221,herstory ; 우리가 몰랐던 그녀들의 story,"4,750,000",1583,"300,000",395명
222,"당신의 추억을 소중하게, AboutTime 인생네컷 앨범","7,906,500",1581,배송 완료,340명
223,스케치업 웹툰 배경 - 빈티지 호텔,"15,810,000",1581,배송 완료,228명
224,[공식] 따끈따끈 포근포근 핑크빈 핸드워머,"15,807,002",1580,배송 완료,773명
225,"어둡고 더운 밤에 마셔요, 알디프 달무지개 아이스티 샘플러","15,780,600",1578,"1,000,000",476명
226,"(한정판)대왕 댕댕이 덴버, 우리집으로 가자!","15,762,000",1576,"1,000,000",257명
227,"거대한 초록 귀여움, 브라키오의 룸메이트를 찾습니다!","78,774,500",1575,"5,000,000","1,443명"
228,"페미니스트 후드티 ""FISH WITHOUT BICYCLE""","4,724,900",1574,배송 완료,158명
229,돌아온 개새 : 두 번째 분양~♬,"31,497,000",1574,배송 완료,750명
230,{우쥬라이크 트로피칼?} 여름/하와이안 컨셉 패턴 소재집!,"15,742,000",1574,배송 완료,492명
231,[스케치업] 오토바이/자전거SET & 자동차SET,"15,735,000",1573,"1,000,000",148명
232,정리된 일상을 위한 에코백 전용 이너백 : 가지런백,"11,798,999",1573,"750,000",595명
233,프리미엄 랑그드샤 비스킷으로 봄 기분내요~!,"4,717,600",1572,배송 완료,157명
234,"베르사이유의 장미와 사과, 마리앙투아네트가 반한 홍차 향기","7,862,000",1572,배송 완료,231명
235,1461일간의 시간여행에 초대합니다 <4년 수집 다이어리>,"7,861,000",1572,"500,000",98명
236,"세상의 모든 요리 한꼬집, 허브와 스파이시 샘플러","15,710,900",1571,"1,000,000",337명
237,"20년 장인들이 만드는 투웨이 백팩(ft, MABAERI)","15,708,500",1570,"1,000,000",445명
238,찐 저세상 건강한 맛! 예쁘게 한입! 그랑크뤼 초콜릿살라미,"7,850,000",1570,배송 완료,193명
239,향긋한 밀크티와 부드러운 콜드브루,"2,346,200",1564,"150,000",96명
240,타로 초보를 위한 셀프 타로 북,"31,267,000",1563,"2,000,000",919명
241,아이디얼 닷]2018 S/S 감각적인 CASUAL LOOK,"1,562,500",1562,배송 완료,18명
242,Table No.1 실용적이고 신뢰할 수 있는 섹스 자료집,"31,249,833",1562,"2,000,000","1,565명"
243,"일본물 쏙 뺀 한국 화투, 찐화투","7,822,000",1564,배송 완료,443명
244,"월간커피, 허브티를 마시는 것 같은 향긋한 콜드브루 커피","7,785,000",1557,배송 완료,490명
245,"믹스, 스틱커피 : 파이프 머그로 즐기는 카페감성","1,556,000",1556,"100,000",30명
246,<남성 혐오를 멈춰주세요> 단행본,"46,678,180",1555,배송 완료,"2,344명"
247,"올 겨울 당신에게 선물할 다이아몬드, 'Una Rosa'.","7,774,500",1554,배송 완료,95명
248,[스케치업 웹툰 배경] 빈티지 주택,"9,321,000",1553,배송 완료,276명
249,웹툰 스케치업 판타지 대도시,"7,765,000",1553,배송 완료,151명
250,비전공자/프리랜서/신입을 위한 편집 디자인_내지 편,"23,293,000",1552,"1,500,000","1,156명"
251,"프리지아 꽃향기를 담은 향수 Yay, Free-sia!","15,507,000",1550,배송 완료,378명
252,"식물집사의 아주 특별한 씨앗생활, 씨드키퍼","15,502,000",1550,"1,000,000",568명
253,"오만과 편견, 홍차로 재탄생하다<달콤한 과일 블렌딩 홍차>","12,396,500",1549,"800,000",524명
254,아르누보풍 고급 무늬 브러쉬 100가지 팩,"7,746,000",1549,배송 완료,282명
255,"노란색 달빛을 담았습니다. 아르테미스의 향, 르파써","7,744,000",1548,배송 완료,299명
256,당신을 위한 선화! 3D 헤드와 소품!,"27,862,000",1547,"1,800,000",218명
257,레깅스를 입지 않는 요가강사가 만든 완벽한 조거팬츠,"15,471,500",1547,배송 완료,257명
258,세상 흉악한건 영국사람이 다 만들어요! 톰골드의 미리오라마,"7,732,556",1546,배송 완료,334명
259,"아이의 미소를 되찾아주세요, 화상 환아 지원","15,460,000",1546,"1,000,000",999명
260,"세 장인들이 만드는 가방, ""투웨이 토트 크로스백""","30,886,000",1544,"2,000,000","1,015명"
261,맥주 거품 고양이. 맥주냥 뱃지,"15,442,500",1544,배송 완료,"1,053명"
262,스노우미 : 가장 맛있는 59kcal 아이스크림,"15,437,500",1543,"1,000,000",547명
263,고전의 재해석 : 어떤 구미호는 현대를 걷는다,"7,716,500",1543,배송 완료,34명
264,비즈와 스팽글로 만나는 '처음 배우는 오트쿠튀르 자수',"15,430,000",1543,배송 완료,275명
265,"나그네의 눈을 훔친 도원경, <사군자 트윌리스카프>","15,430,000",1543,배송 완료,199명
266,스니커가 궁금한 당신에게 필요한 단 한 권의 책,"30,857,000",1542,"2,000,000","1,044명"
267,그림을 더욱 화려하게! 클립스튜디오 문양 브러쉬 15종세트,"7,703,000",1540,"500,000",500명
268,주인공을 위한 엑스트라 브러쉬,"15,395,000",1539,"1,000,000",148명
