,상품명,현재 펀딩 금액,펀딩 퍼센트,목표금액,후원자 수
259,나오 원피스 조각으로 만든 저고리,"5,001,000",500,"1,000,000",26명
260,본격 음주 권장 매거진 쨘,"2,500,000",500,"500,000",117명
261,내 안의 나약함과 한계에서 극복시켜주는 주술적인 힘.조각복,"5,000,000",500,배송 완료,44명
262,"보여지는 존재에서 보는 존재로, 드로잉북<YMFB>","15,000,000",500,배송 완료,340명
263,말괄'냥이' 삐삐-디도고감도레알삐 집사의 막내고양이 입양기,"5,000,000",500,배송 완료,200명
264,앉은뱅이 꽃- '시인의 꿈을 노래하다' 음반제작,"2,500,000",500,배송 완료,50명
265,"시간과 나를 담는 텀블러, iff 텀블러","5,000,000",500,배송 완료,63명
266,'트램웨이즈' - 최고의 덱빌딩 기차게임,"14,999,900",499,"3,000,000",363명
267,몸을 감싸는 조선의 밤하늘 '천상열차분야지도 담요',"3,499,500",499,배송 완료,90명
268,"팝업북 <동물, 원>","9,996,000",499,배송 완료,295명
269,"우리가 알지 못했던 영웅들의 희생, '공혈견'을 아시나요?","7,496,500",499,배송 완료,583명
270,"순간을 기록하는 당신에게, 친환경 고이댕기 카메라 스트랩","2,498,000",499,배송 완료,37명
271,[설선물] 당신의 추위에 가장 따끈한 선물 '내콩찜팩',"999,000",499,배송 완료,33명
272,"한국어 선생님의『느려도 괜찮아, 여기는 코스타리카!』","4,993,000",499,배송 완료,159명
273,구슬이 움직이는 12별자리 일러스트 쉐이커,"2,496,000",499,"500,000",61명
274,당신의 색을 담은 '도자기반지',"4,991,000",499,배송 완료,182명
275,[로캣펫캐리어3] 두 마리 들어가는 고양이 이동장,"14,968,000",498,"3,000,000",202명
276,작고 반짝이는 것의 가치_ 포터리쏘 도자기 귀걸이,"498,700",498,"100,000",31명
277,용사식당 OST & 굿즈,"24,925,000",498,배송 완료,425명
278,무화과와 우드를 품은 다소 끈적이고 섹시한 향기<섬유향수>,"4,983,000",498,배송 완료,148명
279,태극기를 대한민국의 태극기로 :: 내가 택한 태극기 캠페인,"9,964,000",498,배송 완료,593명
280,"봄과 함께 돌아온, 어썸베이커리 치즈케이크","1,743,700",498,배송 완료,81명
281,100가지 폰트 스타일 모음(한영)-디자이너 필수 아이템,"2,490,000",498,배송 완료,84명
282,"전국구 직장인 헌정 만화 ""슬프게도 이게 내 인생""","14,936,111",497,"3,000,000",259명
