,상품명,현재 펀딩 금액,펀딩 퍼센트,목표금액,후원자 수
573,당신께 드리는 작은선물 '일상의 트렌치코트',"59,325,000",2966,"500,000",953명
574,웹툰 스케치업 배경 - 사건25시 7탄 - 연구,"8,890,000",2963,"500,000",254명
575,"쌀쌀한 가을, 그리고 '일상의 트렌치코트 ver.2'","59,133,000",2956,"500,000",893명
576,"내 몸과 가까운 애착 한복, 포근텐셀 패딩한복 3종세트","29,535,000",2953,"500,000",161명
577,"어른들의 지적 성장 도전기, 자기계발 학습지 [쓸모]","29,415,000",2941,"500,000",717명
578,굿즈제작러들에게 필요한 지식<굿즈 제작의 모든것>,"14,670,000",2934,"500,000",660명
579,로판 속 다양한 계급 및 직업별 의상을 위한 부티크,"14,666,000",2933,"500,000",322명
580,2018년을 정리하는 100가지 질문 <연말정산>,"14,652,500",2930,"500,000",787명
581,For Free silver ring,"292,000",2920,"500,000",17명
582,[DOOGY의 웹툰배경] 야경이 멋진 도시 홍콩,"29,160,000",2916,"500,000",279명
583,<언제나 절망이 같이 있어줍니다.> 만화 단행본 제작,"29,135,000",2913,"500,000",830명
584,미식가의 필독서! <미식 잡학 사전> 출판,"58,168,000",2908,"500,000",745명
585,'그' 체리는 어떤 향기일까? <아임 리얼 체리 향수>,"14,532,100",2906,"500,000",546명
586,뭉근한 우유거품과 달콤한 카라멜 홍차향기로 포근한 겨울을.,"14,464,000",2892,"500,000",382명
587,더 나은 내년을 위한 102가지 질문 <매년 쓰는 자서전>,"28,924,000",2892,"500,000","1,651명"
588,"작은 기록을 소중히 보관하는 공간, 메모 오거나이저","57,729,777",2886,"500,000",805명
589,웹툰 배경 스케치업_계급 시대별 마차,"28,795,000",2879,"500,000",219명
590,"신규간호사,간호대학생이 현장에서 꼭 필요한 암또의 임상노트","28,746,500",2874,"500,000","1,199명"
591,스케치업 웹툰배경 방송국 세트장,"14,364,000",2872,"500,000",335명
592,루아루 메이플 마법상점 (네코장),"11,481,500",2870,"500,000",240명
593,<스냅툰&스케치업> 중국풍 무협 사극 웹툰배경 2탄,"28,696,600",2869,"500,000",237명
594,"Paper Ring ""메세지를 전하다""","14,323,500",2864,"500,000",265명
595,"추리와 백합, 조선시대 여탐정 이야기 <탐정뎐> 리마스터판","200,444,000",2863,"500,000","2,331명"
596,배가 따뜻하면 나타나는 효과 7가지! 핀처 슬림핏 워머,"14,310,500",2862,"500,000",191명
597,[앵콜] 하루 한 포 정직한 다이어트: 투유투디 더블다운,"57,112,004",2855,"500,000",876명
598,휴대용기타 Klang 끌랑.,"142,744,000",2854,"500,000",495명
599,"월간커피, 아몬드 초콜릿처럼 고소하고 달콤한 콜드브루 커피","14,215,000",2843,"500,000",850명
600,[델리2] 디저트 퍼퓸가게 '델리'가 다시 오픈했습니다.,"14,204,900",2840,"500,000",229명
601,보관이 편리한 자석 마스크 스트랩,"14,185,650",2837,"500,000","1,022명"
602,"양철 나무꾼의 반짝이는 심장을 찾아서, 오즈의 마법사 잉크","28,334,000",2833,"500,000",337명
603,"소나무로 만든 천연 고양이모래, 더스트몬 에코파인","14,128,200",2825,"500,000",217명
604,"사계절 기본템, 올이 나가지 않는 스타킹","28,254,000",2825,"500,000",650명
605,조선 최대의 음식요리 백과사전 '임원경제지 정조지',"14,121,000",2824,"500,000",127명
